tok	miss	routed	M	coldGate	totGate	margin
453	131	320	1	-487.03906	-1251.7246	1.109375
454	34	320	1	-131.9414	-1267.5762	3.09375
455	32	320	1	-126.10156	-1273.3203	0.484375
456	78	320	1	-300.0879	-1287.541	2.953125
457	126	320	1	-476.41504	-1276.1338	1.859375
458	161	320	1	-593.3491	-1237.2495	6.703125
459	145	320	1	-556.8633	-1255.9902	3.796875
460	140	320	1	-541.54297	-1291.6113	0.03125
461	1585	4480	14	0.0	0.0	4.46875
462	136	320	1	-522.3613	-1262.8096	4.65625
463	176	320	1	-627.7285	-1251.4668	0.15625
464	152	320	1	-572.47656	-1257.3301	4.21875
465	145	320	1	-565.27734	-1279.3984	7.25
466	176	320	1	-633.0078	-1225.9961	0.59375
467	161	320	1	-611.75977	-1267.998	1.65625
468	1963	5440	17	0.0	0.0	7.125
470	139	320	1	-530.06445	-1278.5879	0.09375
471	53	320	1	-194.81055	-1256.3818	0.34375
472	51	320	1	-206.91797	-1301.5117	0.171875
473	121	320	1	-473.31445	-1303.1621	2.40625
474	110	320	1	-424.02734	-1277.7051	1.21875
475	2315	5440	17	0.0	0.0	1.140625
476	76	320	1	-288.15332	-1291.1631	4.0
477	53	320	1	-197.9082	-1218.4102	0.34375
478	45	320	1	-146.80713	-1066.6147	0.125
479	27	320	1	-94.40234	-1140.8496	0.0625
480	61	320	1	-219.97656	-1211.6484	3.5625
481	72	320	1	-246.08911	-1129.9641	0.71875
482	56	320	1	-195.6084	-1166.4697	2.734375
483	56	320	1	-189.95508	-1216.9473	0.375
484	69	320	1	-242.97852	-1184.1191	2.65625
485	60	320	1	-212.85938	-1187.1416	1.125
486	68	320	1	-241.50977	-1180.0625	0.578125
487	41	320	1	-157.4668	-1252.7109	5.296875
488	38	320	1	-135.10156	-1205.7344	4.140625
489	42	320	1	-139.9209	-1078.5732	1.578125
490	46	320	1	-158.53125	-1124.127	11.5703125
491	42	320	1	-164.86523	-1284.8604	6.09375
492	74	320	1	-290.5244	-1318.9717	9.8046875
493	57	320	1	-217.7002	-1252.7129	1.1875
494	724	5440	17	0.0	0.0	2.578125
496	61	320	1	-213.9961	-1218.998	7.359375
497	32	320	1	-115.96582	-1253.3447	4.96875
498	30	320	1	-110.5332	-1256.1738	10.0234375
499	19	320	1	-67.146484	-1126.1509	10.4375
500	39	320	1	-152.65234	-1239.6943	2.71875
501	56	320	1	-190.61426	-1196.7744	2.1875
502	43	320	1	-140.49316	-1150.9922	7.390625
503	36	320	1	-120.86133	-1170.1055	4.796875
504	54	320	1	-193.89355	-1211.4033	4.203125
505	35	320	1	-122.1582	-1214.5713	5.828125
506	28	320	1	-96.600586	-1250.8057	7.40625
507	21	320	1	-80.39453	-1140.2451	8.375
508	27	320	1	-109.697266	-1259.6787	0.9375
509	18	320	1	-69.021484	-1208.6367	1.703125
510	701	5440	17	0.0	0.0	1.0625
511	33	320	1	-131.10352	-1277.5254	7.6875
512	52	320	1	-205.33594	-1254.8662	7.625
513	39	320	1	-149.23828	-1272.4746	0.25
514	19	320	1	-69.987305	-1230.8809	0.046875
515	40	320	1	-151.21094	-1284.459	3.8125
516	37	320	1	-133.46973	-1207.8408	0.46875
517	34	320	1	-124.52246	-1222.2393	2.765625
518	47	320	1	-179.9668	-1243.3613	1.015625
519	55	320	1	-205.66992	-1243.3066	0.71875
520	33	320	1	-116.274414	-1239.208	4.546875
521	23	320	1	-84.2793	-1221.2793	1.28125
522	51	320	1	-190.9414	-1220.418	4.90625
523	55	320	1	-207.59961	-1194.1914	0.3125
524	51	320	1	-188.09961	-1191.1299	2.453125
525	38	320	1	-142.73633	-1206.4746	1.28125
526	36	320	1	-138.22852	-1218.0176	1.796875
527	29	320	1	-108.9375	-1223.9824	0.4375
528	52	320	1	-201.61914	-1262.6904	2.046875
529	32	320	1	-124.67969	-1248.1611	9.65625
530	26	320	1	-109.46289	-1256.5967	9.0390625
531	43	320	1	-177.01758	-1278.8262	7.71875
532	788	5440	17	0.0	0.0	9.703125
535	35	320	1	-137.63672	-1264.5996	8.15625
536	26	320	1	-99.38867	-1259.7441	4.65625
537	102	320	1	-372.16406	-1203.0996	8.0
538	85	320	1	-304.8916	-1214.2041	0.984375
539	54	320	1	-206.52441	-1249.9111	0.1875
540	66	320	1	-243.63477	-1225.0859	0.296875
541	45	320	1	-163.63574	-1221.8154	2.796875
542	82	320	1	-313.8828	-1207.0703	1.8125
543	69	320	1	-250.73633	-1215.4375	6.296875
544	50	320	1	-184.58887	-1247.1787	9.578125
545	45	320	1	-172.15625	-1220.9258	0.53125
546	97	320	1	-357.74902	-1201.3389	4.859375
547	115	320	1	-404.4165	-1168.7017	3.859375
548	82	320	1	-296.0332	-1213.7314	1.125
