tok	miss	routed	M	coldGate	totGate	margin	coldW	entropy	top8
1012	32	320	1	-129.86914	-1303.8438	3.390625	3.9095805	0.33979607	28:22.890625,283:19.5,303:18.125,494:17.734375,8213:17.65625,5601:17.5,25:17.125,2020:15.90625
1013	61	320	1	-240.08203	-1312.4492	5.96875	8.757043	0.08853112	15:22.109375,19:16.140625,220:16.046875,20:15.0859375,198:14.921875,17:14.8125,16:14.7109375,9381:14.546875
1014	89	320	1	-336.05762	-1281.1309	3.28125	12.631528	0.4345384	25:23.0,11:19.71875,310:18.765625,486:18.515625,1411:18.515625,318:18.0625,13:16.84375,198:16.265625
1015	80	320	1	-308.18164	-1283.5312	1.875	10.773708	0.43787944	2796:23.046875,220:21.171875,20:16.90625,264:15.7578125,771:15.46875,498:14.9140625,1082:14.859375,2564:14.71875
1016	30	320	1	-121.94922	-1343.3594	5.171875	4.1640587	0.058033295	58:22.8125,3681:17.640625,28:15.96875,15:14.8359375,498:13.8125,5637:13.5859375,73:13.453125,25:13.2109375
1017	54	320	1	-217.8086	-1368.3145	5.8125	7.8652716	0.038195547	15:23.4375,20:17.625,19:16.640625,16:14.484375,7946:14.46875,24:14.1171875,17:14.078125,18:13.8125
1018	78	320	1	-300.9131	-1288.9033	3.828125	10.8878975	0.19571732	4678:21.75,60:17.921875,73700:16.859375,33010:14.921875,28:14.6875,49463:13.7578125,11393:13.75,7946:13.515625
1019	83	320	1	-328.17578	-1324.0254	3.953125	11.895673	0.18887602	20:23.15625,17:19.203125,15:17.453125,18:16.984375,16:16.90625,19:16.71875,7946:15.9609375,2564:15.484375
1020	115	320	1	-437.33984	-1285.8223	1.859375	16.46737	1.1580838	2564:21.6875,11:19.828125,835:19.203125,13:18.953125,1411:18.90625,7946:17.796875,361:17.140625,29:16.5
1021	82	320	1	-317.07422	-1308.0801	0.703125	11.388121	0.70060414	220:21.390625,19:20.6875,25212:16.453125,20:15.625,30:14.109375,17:13.3125,22:13.2890625,18:13.109375
1022	69	320	1	-285.49512	-1352.3467	6.875	8.593835	0.013379101	19:24.796875,20:17.921875,16:16.109375,17:15.7578125,15:15.140625,18:14.859375,22:14.1328125,23:14.09375
1023	126	320	1	-470.8828	-1262.4395	0.828125	17.906668	0.9012563	1411:23.3125,30:22.484375,25:20.84375,11:18.8125,13:18.09375,574:17.96875,11069:17.15625,198:16.46875
1024	83	320	1	-318.83203	-1280.3145	5.046875	11.259061	0.12819535	585:24.078125,2912:19.03125,13881:18.9375,9542:18.375,804:16.65625,492:16.421875,220:16.328125,874:16.09375
1025	40	320	1	-159.66406	-1315.2441	5.140625	5.2314897	0.04338885	28:24.84375,10512:19.703125,8236:16.703125,8772:16.046875,283:15.40625,992:14.359375,397:14.109375,11:13.484375
1026	79	320	1	-309.5039	-1328.0684	6.734375	11.484777	0.028491616	15:23.78125,471:17.046875,16:16.53125,10:15.390625,220:15.3359375,11:14.9296875,17:14.4765625,397:14.3203125
1027	86	320	1	-323.5078	-1278.083	5.1875	11.836187	0.083142385	11:24.296875,1411:19.109375,13881:18.3125,26:17.796875,13:17.046875,25:16.8125,198:16.40625,2796:15.71875
1028	77	320	1	-298.65234	-1300.0469	4.015625	10.654418	0.096733555	13881:25.703125,2796:21.6875,220:17.328125,24921:16.234375,1953:15.9921875,3289:15.421875,498:15.328125,70664:15.1953125
1029	85	320	1	-330.08984	-1279.7754	1.203125	10.806466	1.1828345	2796:21.6875,7:20.484375,220:19.359375,1411:18.515625,10620:18.484375,58:18.046875,25:17.265625,318:16.1875
1030	55	320	1	-219.45117	-1327.2793	6.03125	7.330479	0.04724328	58:23.328125,7368:17.296875,957:16.71875,15:16.046875,11:15.3359375,220:14.5390625,25:14.421875,498:14.25
1031	45	320	1	-182.4668	-1351.4492	7.015625	5.9539304	0.018781822	15:23.4375,16:16.421875,20:16.171875,19:13.9609375,17:13.265625,471:12.7578125,18:12.46875,3944:12.3203125
1032	58	320	1	-227.29102	-1280.3096	3.140625	6.7705116	0.27512935	1089:22.4375,60:19.296875,11:17.359375,4678:16.203125,486:15.6953125,25:15.421875,33010:15.390625,9477:15.015625
